id,username,password
1,bestplayerever,1231hasd
2,coolgamer,pass1234
3,eliteplayer,securepwd1
4,gamemaster,gamemaster2021
5,topgamer,supersecret123
6,winner2024,p@ssword123
7,nightwarrior,password789
8,frostking,winteriscoming
9,starfighter,password42
10,dragonrider,flight123
11,swordmaster,sharp123
12,stormbringer,thunderstorm456
13,battlelord,conquest23
14,shadowhunter,darknight43
15,championz,powergamer2023
16,titanwarrior,strongman98
17,arcadegenius,funplays123
18,raiderking,passwordhunter
19,speedracer,fastpass12
20,rocketman,launchit123
21,levelupking,nextlevel01
22,stealthplayer,sneakygame
23,speedrunner,quickpass66
24,wizardking,magicpass09
25,cyberplayer,techno123
26,prodefender,guardit2022
27,specialagent,agent007pass
28,mechwarrior,mechstrong23
29,spacefighter,galaxyfight42
30,phantomassassin,stealthkills1
31,dragonlord,firebreath99
32,godmodeactive,invinciblepower
33,thunderstrike,lightningfast12
34,invisiblehunter,invisipass123
35,swiftdagger,bladeshadow09
36,prosniper,headshot001
37,skyhighpilot,flyingaces42
38,guardianoftime,timelock123
39,shadowmaster,nightpass43
40,divinewarrior,heavenlysword
41,magekingdom,magicruler2024
42,stormwarden,lightningstorm8
43,mightydefender,fortressdef123
44,firestarter,pyropower2020
45,silentrunner,stealthmove99
46,necromancer,deathpass09
47,quantumforce,energy123
48,cybermage,virtualpower88
49,zenithwarrior,toppass99
50,battleking,ultimatepower123
